Function,Hardware Event Count:INST_RETIRED.ANY,Hardware Event Count:CPU_CLK_UNHALTED.THREAD,Hardware Event Count:CPU_CLK_UNHALTED.REF_TSC,Hardware Event Count:CPU_CLK_UNHALTED.REF_XCLK,Hardware Event Count:CPU_CLK_UNHALTED.ONE_THREAD_ACTIVE,Hardware Event Count:MEM_INST_RETIRED.ALL_LOADS_PS,Hardware Event Count:MEM_INST_RETIRED.ALL_STORES_PS,Hardware Event Count:MEM_TRANS_RETIRED.LOAD_LATENCY_GT_4,Hardware Event Count:OCR.ALL_READS.L3_MISS_LOCAL_DRAM.ANY_SNOOP,Hardware Event Count:OCR.ALL_READS.L3_MISS_REMOTE_HOP1_DRAM.ANY_SNOOP,Hardware Event Count:CPU_CLK_UNHALTED.THREAD_P,Hardware Event Count:CYCLE_ACTIVITY.STALLS_L1D_MISS,Hardware Event Count:CYCLE_ACTIVITY.STALLS_L2_MISS,Hardware Event Count:CYCLE_ACTIVITY.STALLS_L3_MISS,Hardware Event Count:CYCLE_ACTIVITY.STALLS_MEM_ANY,Hardware Event Count:DTLB_LOAD_MISSES.STLB_HIT,Hardware Event Count:DTLB_LOAD_MISSES.WALK_ACTIVE,Hardware Event Count:DTLB_STORE_MISSES.STLB_HIT,Hardware Event Count:DTLB_STORE_MISSES.WALK_ACTIVE,Hardware Event Count:EXE_ACTIVITY.1_PORTS_UTIL,Hardware Event Count:EXE_ACTIVITY.2_PORTS_UTIL,Hardware Event Count:EXE_ACTIVITY.BOUND_ON_STORES,Hardware Event Count:EXE_ACTIVITY.EXE_BOUND_0_PORTS,Hardware Event Count:FRONTEND_RETIRED.LATENCY_GE_4_PS,Hardware Event Count:IDQ_UOPS_NOT_DELIVERED.CORE,Hardware Event Count:INT_MISC.RECOVERY_CYCLES,Hardware Event Count:L1D_PEND_MISS.FB_FULL:cmask=1,Hardware Event Count:L1D_PEND_MISS.PENDING,Hardware Event Count:L2_RQSTS.RFO_HIT,Hardware Event Count:LD_BLOCKS.NO_SR,Hardware Event Count:LD_BLOCKS.STORE_FORWARD,Hardware Event Count:LD_BLOCKS_PARTIAL.ADDRESS_ALIAS,Hardware Event Count:MEM_INST_RETIRED.LOCK_LOADS_PS,Hardware Event Count:MEM_INST_RETIRED.SPLIT_LOADS_PS,Hardware Event Count:MEM_INST_RETIRED.SPLIT_STORES_PS,Hardware Event Count:MEM_INST_RETIRED.STLB_MISS_LOADS_PS,Hardware Event Count:MEM_INST_RETIRED.STLB_MISS_STORES_PS,Hardware Event Count:MEM_LOAD_L3_HIT_RETIRED.XSNP_HITM_PS,Hardware Event Count:MEM_LOAD_L3_HIT_RETIRED.XSNP_HIT_PS,Hardware Event Count:MEM_LOAD_L3_HIT_RETIRED.XSNP_MISS_PS,Hardware Event Count:MEM_LOAD_L3_MISS_RETIRED.LOCAL_DRAM_PS,Hardware Event Count:MEM_LOAD_L3_MISS_RETIRED.REMOTE_DRAM_PS,Hardware Event Count:MEM_LOAD_L3_MISS_RETIRED.REMOTE_FWD,Hardware Event Count:MEM_LOAD_L3_MISS_RETIRED.REMOTE_HITM_PS,Hardware Event Count:MEM_LOAD_L3_MISS_RETIRED.REMOTE_PMM_PS,Hardware Event Count:MEM_LOAD_RETIRED.FB_HIT_PS,Hardware Event Count:MEM_LOAD_RETIRED.L1_HIT_PS,Hardware Event Count:MEM_LOAD_RETIRED.L1_MISS_PS,Hardware Event Count:MEM_LOAD_RETIRED.L2_HIT_PS,Hardware Event Count:MEM_LOAD_RETIRED.L3_HIT_PS,Hardware Event Count:MEM_LOAD_RETIRED.L3_MISS_PS,Hardware Event Count:MEM_LOAD_RETIRED.LOCAL_PMM_PS,Hardware Event Count:OCR.DEMAND_DATA_RD.L3_HIT.HITM_OTHER_CORE,Hardware Event Count:OCR.DEMAND_DATA_RD.L3_HIT.HIT_OTHER_CORE_FWD,Hardware Event Count:OCR.DEMAND_RFO.L3_HIT.HITM_OTHER_CORE,Hardware Event Count:OCR.DEMAND_RFO.L3_MISS.REMOTE_HITM,Hardware Event Count:OCR.PF_L2_RFO.L3_HIT.HITM_OTHER_CORE,Hardware Event Count:OCR.PF_L2_RFO.L3_MISS.REMOTE_HITM,Hardware Event Count:OFFCORE_REQUESTS_BUFFER.SQ_FULL,Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.ALL_DATA_RD:cmask=4,Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_DATA_RD,Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_DEMAND_RFO,Hardware Event Count:UOPS_ISSUED.ANY,Hardware Event Count:UOPS_RETIRED.RETIRE_SLOTS,Hardware Event Count:Total_Latency_MEM_TRANS_RETIRED.LOAD_LATENCY_GT_4,Module,Function (Full),Source File,Start Address
renumberClustersContiguously,30241814400,52563153600,32581954800,480014400,576017280,16272488160,192005760,230469120,0,0,76800112640,4800007040,960001408,0,25920038016,3840005632,96002880,0,0,16320023936,4800007040,0,0,0,1920002816,0,0,3840005632,0,0,0,192005760,0,0,0,0,0,0,0,0,0,0,0,0,0,192005760,9600014080,192005760,192005760,0,0,0,0,0,0,0,0,0,0,0,5760008448,0,50880074624,41280060544,2736820800,driverForGraphClustering,"renumberClustersContiguously(long*, long)",buildNextPhase.cpp,0x4519f0
"std::_Rb_tree<long, std::pair<long const, long>, std::_Select1st<std::pair<long const, long>>, std::less<long>, std::allocator<std::pair<long const, long>>>::_S_right",28801728000,24961497600,19981198800,96002880,0,18288548640,0,124837440,0,0,17280025344,4800007040,0,0,1920002816,960001408,0,0,0,7680011264,3840005632,0,960001408,2304161280,16320023936,0,0,1920002816,96001440,0,0,144004320,0,0,0,0,0,0,0,0,48003360,0,0,0,0,96002880,21120030976,2160064800,1584047520,0,0,0,0,0,0,0,0,0,0,0,0,0,39360057728,32640047872,1185955680,driverForGraphClustering,"std::_Rb_tree<long, std::pair<long const, long>, std::_Select1st<std::pair<long const, long>>, std::less<long>, std::allocator<std::pair<long const, long>>>::_S_right(std::_Rb_tree_node_base*)",stl_tree.h,0x41fa99
"__gnu_cxx::new_allocator<double>::construct<double, double>",28621717200,25921555200,20521231200,336010080,0,0,31680950400,0,0,0,28800042240,0,0,0,4800007040,0,0,0,0,9600014080,6720009856,0,0,0,22080032384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7680011264,3840005632,20160029568,20160029568,0,driverForGraphClustering,"void __gnu_cxx::new_allocator<double>::construct<double, double>(double*, double&&)",new_allocator.h,0x4331b4
"__gnu_cxx::new_allocator<std::_Rb_tree_node<std::pair<long const, long>>>::deallocate",28441706400,35762145600,21601296000,384011520,0,0,15552466560,0,0,0,36480053504,0,0,0,12480018304,1920002816,1056031680,0,0,8640012672,12480018304,0,0,432030240,30720045056,8640012672,0,3840005632,0,0,0,96002880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,960001408,0,23040033792,31680046464,0,driverForGraphClustering,"__gnu_cxx::new_allocator<std::_Rb_tree_node<std::pair<long const, long>>>::deallocate(std::_Rb_tree_node<std::pair<long const, long>>*, unsigned long)",new_allocator.h,0x41fadf
"__gnu_cxx::new_allocator<std::_Rb_tree_node<std::pair<long const, long>>>::allocate",26821609200,26641598400,15480928800,48001440,0,0,2400072000,0,48001440,0,21120030976,0,0,0,3840005632,960001408,0,0,0,6720009856,3840005632,0,0,2352164640,19200028160,0,0,0,0,0,0,48001440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2880004224,5760008448,41280060544,23040033792,0,driverForGraphClustering,"__gnu_cxx::new_allocator<std::_Rb_tree_node<std::pair<long const, long>>>::allocate(unsigned long, void const*)",new_allocator.h,0x43309f
"std::vector<double, std::allocator<double>>::_M_realloc_insert<double>",26461587600,20641238400,17641058400,336010080,0,37729131840,0,432129600,0,0,15360022528,0,0,0,9600014080,0,0,0,0,5760008448,5760008448,0,0,96006720,13440019712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44160064768,0,0,0,0,0,0,0,0,0,0,0,0,960001408,2880004224,1920002816,18240026752,27840040832,3639491520,driverForGraphClustering,"void std::vector<double, std::allocator<double>>::_M_realloc_insert<double>(__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double>>>, double&&)",stl_vector.h,0x43313a
alloc_perturb,26281576800,10320619200,7560453600,144004320,0,55297658880,0,259277760,0,0,7680011264,0,0,0,960001408,0,0,0,0,960001408,960001408,0,0,0,3840005632,0,0,0,0,0,0,144004320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78720115456,0,0,0,0,0,0,0,0,0,0,0,0,0,2880004224,0,33600049280,18240026752,1920576000,libc-2.29.so,alloc_perturb,malloc.c,0x970f1
"std::_Rb_tree_iterator<std::pair<long const, long>>::operator!=",21601296000,29761785600,19081144800,288008640,48001440,0,0,0,0,0,28800042240,1920002816,3840005632,960001408,11520016896,0,96002880,0,0,9600014080,2880004224,0,0,816057120,18240026752,2880004224,0,23040033792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16320023936,0,18240026752,15360022528,0,driverForGraphClustering,"std::_Rb_tree_iterator<std::pair<long const, long>>::operator!=(std::_Rb_tree_iterator<std::pair<long const, long>> const&) const",stl_tree.h,0x43f409
"__gnu_cxx::new_allocator<std::_Rb_tree_node<std::pair<long const, long>>>::deallocate",20701242000,46322779200,33301998000,288008640,0,0,5472164160,0,0,0,36480053504,960001408,0,0,7680011264,0,2928087840,0,0,11520016896,15360022528,0,0,1824127680,35520052096,3840005632,0,3840005632,0,0,0,48001440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41280060544,18240026752,0,driverForGraphClustering,"__gnu_cxx::new_allocator<std::_Rb_tree_node<std::pair<long const, long>>>::deallocate(std::_Rb_tree_node<std::pair<long const, long>>*, unsigned long)",new_allocator.h,0x433437
tcache_put,20341220400,284417064000,203412204000,1776053280,0,3024090720,1920057600,2808842400,0,0,276480405504,33600049280,0,960001408,127680187264,0,0,48001440,48001440,85440125312,48960071808,0,0,2448171360,42240061952,1920002816,0,76800112640,0,0,6768203040,96002880,0,0,0,0,0,0,0,0,0,0,0,0,0,48001440,1920002816,0,0,0,0,0,0,0,0,0,0,0,0,0,49920073216,1920002816,212160311168,395520580096,47932775520,libc-2.29.so,tcache_put,malloc.c,0x967bc
clear_buddies,19621177200,12240734400,8460507600,96002880,0,8928267840,1920057600,129638880,0,0,1920002816,0,0,0,2880004224,0,0,0,0,1920002816,1920002816,0,1920002816,288020160,11520016896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10560015488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1920002816,17280025344,15360022528,912273600,vmlinux,clear_buddies,[Unknown],0xffffffff94ece330
"std::_Rb_tree_iterator<std::pair<long const, long>>::operator==",18361101600,11280676800,6300378000,0,0,9936298080,0,192057600,0,0,7680011264,0,0,0,1920002816,0,0,0,0,2880004224,1920002816,0,0,960067200,7680011264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10560015488,0,0,0,0,0,0,0,0,0,0,0,0,0,2880004224,0,14400021120,19200028160,1349204640,driverForGraphClustering,"std::_Rb_tree_iterator<std::pair<long const, long>>::operator==(std::_Rb_tree_iterator<std::pair<long const, long>> const&) const",stl_tree.h,0x4200eb
tcache_put,18361101600,13440806400,9360561600,144004320,0,3024090720,8544256320,158447520,0,0,17280025344,0,960001408,0,1920002816,0,0,0,0,7680011264,960001408,0,2880004224,0,18240026752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7680011264,0,0,0,0,0,0,0,0,0,0,0,0,0,1920002816,0,28800042240,17280025344,1099529760,libc-2.29.so,tcache_put,malloc.c,0x96e44
__ia32_sys_sched_yield,17641058400,10320619200,9180550800,0,0,1296038880,3840115200,19205760,0,0,15360022528,0,0,0,1920002816,0,0,0,0,5760008448,2880004224,0,0,576040320,29760043648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,960001408,7680011264,29760043648,148844640,vmlinux,__ia32_sys_sched_yield,[Unknown],0xffffffff94ec8310
"__gnu_cxx::new_allocator<std::_Rb_tree_node<std::pair<long const, long>>>::deallocate",17461047600,26161569600,13860831600,48001440,0,0,9888296640,0,0,0,17280025344,0,0,0,1920002816,0,960028800,0,0,3840005632,5760008448,0,0,288020160,18240026752,1920002816,0,1920002816,0,0,0,48001440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17280025344,16320023936,0,driverForGraphClustering,"__gnu_cxx::new_allocator<std::_Rb_tree_node<std::pair<long const, long>>>::deallocate(std::_Rb_tree_node<std::pair<long const, long>>*, unsigned long)",new_allocator.h,0x41facb
tcache_put,17461047600,12960777600,9360561600,48001440,0,720021600,4128123840,38411520,0,0,9600014080,0,0,0,0,0,0,48001440,0,2880004224,2880004224,0,0,48003360,1920002816,0,0,0,0,0,0,48001440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3840005632,0,18240026752,16320023936,355306560,libc-2.29.so,tcache_put,malloc.c,0x96c61
"std::_Rb_tree<long, std::pair<long const, long>, std::_Select1st<std::pair<long const, long>>, std::less<long>, std::allocator<std::pair<long const, long>>>::_M_begin",16921015200,7200432000,7020421200,0,0,4752142560,0,124837440,0,0,11520016896,0,0,0,0,0,0,0,0,960001408,2880004224,0,0,576040320,7680011264,0,0,0,0,0,0,144004320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2880004224,0,0,0,0,0,0,0,0,0,0,0,0,0,3840005632,960001408,20160029568,10560015488,921876480,driverForGraphClustering,"std::_Rb_tree<long, std::pair<long const, long>, std::_Select1st<std::pair<long const, long>>, std::less<long>, std::allocator<std::pair<long const, long>>>::_M_begin(void)",stl_tree.h,0x42006d
sched_yield,16560993600,72004320000,42302538000,720021600,48001440,8064241920,0,4801440,0,0,71040104192,960001408,0,0,3840005632,960001408,0,384011520,0,11520016896,13440019712,0,10560015488,96006720,55680081664,960001408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12480018304,0,0,0,0,0,0,0,0,0,0,0,0,0,2880004224,2880004224,45120066176,77760114048,76823040,libc-2.29.so,sched_yield,syscall-template.S,0x101860
entry_SYSCALL_64_after_hwframe,16020961200,24721483200,18001080000,0,48001440,4896146880,9120273600,100830240,0,0,34560050688,0,0,0,3840005632,0,0,288008640,0,8640012672,2880004224,960001408,0,144010080,31680046464,0,0,0,0,0,48001440,144004320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2880004224,0,48001440,0,0,0,0,0,0,0,0,0,0,0,960001408,960001408,36480053504,19200028160,725017440,vmlinux,entry_SYSCALL_64_after_hwframe,[Unknown],0xffffffff95a00048
xas_load,14760885600,4800288000,7380442800,192005760,48001440,2736082080,1536046080,19205760,0,0,5760008448,0,0,0,0,0,0,0,0,0,960001408,0,0,0,7680011264,0,0,1920002816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1920002816,0,96002880,0,0,0,0,0,0,0,0,0,0,0,1920002816,0,9600014080,10560015488,182454720,vmlinux,xas_load,[Unknown],0xffffffff95839ba0
_intel_fast_memmove,14400864000,12000720000,9180550800,96002880,0,0,0,0,48001440,0,9600014080,0,0,0,5760008448,0,48001440,144004320,0,4800007040,1920002816,0,0,144010080,10560015488,960001408,0,3840005632,0,0,0,96002880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2880004224,960001408,17280025344,17280025344,0,driverForGraphClustering,_intel_fast_memmove,[Unknown],0x46be10
"std::_Rb_tree<long, std::pair<long const, long>, std::_Select1st<std::pair<long const, long>>, std::less<long>, std::allocator<std::pair<long const, long>>>::_S_right",14220853200,16801008000,12060723600,144004320,0,12528375840,0,100830240,0,0,17280025344,0,0,0,3840005632,0,0,48001440,0,1920002816,6720009856,0,0,576040320,18240026752,0,0,3840005632,96001440,0,0,48001440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7680011264,720021600,576017280,0,0,0,0,0,0,0,0,0,0,0,0,0,21120030976,18240026752,705811680,driverForGraphClustering,"std::_Rb_tree<long, std::pair<long const, long>, std::_Select1st<std::pair<long const, long>>, std::less<long>, std::allocator<std::pair<long const, long>>>::_S_right(std::_Rb_tree_node_base*)",stl_tree.h,0x41faa2
sumVertexDegree$omp$parallel_for@83,11700702000,257535451200,190271415600,1728051840,0,2736082080,96002880,4801440,0,192005760,245760360448,257280377344,209280306944,193920284416,264000387200,0,336010080,0,0,2880004224,960001408,0,0,0,53760078848,0,18240026752,1186561740288,0,0,0,0,0,0,0,0,0,0,0,0,0,48003360,0,0,0,1872056160,1920002816,528015840,0,0,336023520,192013440,0,0,0,0,0,0,77760114048,191040280192,223680328064,17280025344,11520016896,6720009856,33610080,driverForGraphClustering,sumVertexDegree$omp$parallel_for@83,utilityClusteringFunctions.cpp,0x43e63c
do_sched_yield,10620637200,17761065600,12960777600,96002880,0,3024090720,4320129600,120036000,0,0,21120030976,0,0,0,4800007040,0,0,0,48001440,1920002816,8640012672,0,960001408,192013440,17280025344,960001408,0,0,0,0,96002880,48001440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,960001408,96002880,0,0,0,0,0,0,0,0,0,0,0,0,0,1920002816,16320023936,19200028160,998699520,vmlinux,do_sched_yield,[Unknown],0xffffffff94ec82a0
func@0x4043e0,10440626400,6960417600,8280496800,144004320,0,28224846720,0,211263360,0,0,11520016896,0,960001408,0,3840005632,0,48001440,0,0,4800007040,1920002816,0,0,96006720,11520016896,0,0,1920002816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28800042240,0,0,0,0,0,0,0,0,0,0,0,0,0,4800007040,0,7680011264,6720009856,1627688160,driverForGraphClustering,func@0x4043e0,[Unknown],0x4043e0
"std::vector<double, std::allocator<double>>::vector",9720583200,8160489600,5040302400,48001440,0,15840475200,0,172851840,0,0,5760008448,0,0,0,3840005632,0,0,0,0,3840005632,960001408,0,0,0,2880004224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45120066176,0,0,0,0,0,0,0,0,0,0,0,0,0,960001408,0,8640012672,10560015488,1363608960,driverForGraphClustering,"std::vector<double, std::allocator<double>>::vector(void)",stl_vector.h,0x423240
"std::_Vector_base<double, std::allocator<double>>::_M_deallocate",9000540000,9120547200,7380442800,96002880,0,0,0,0,0,0,11520016896,0,960001408,0,960001408,0,0,48001440,0,960001408,960001408,0,960001408,576040320,11520016896,0,0,1920002816,96001440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,960001408,1920002816,0,10560015488,4800007040,0,driverForGraphClustering,"std::_Vector_base<double, std::allocator<double>>::_M_deallocate(double*, unsigned long)",stl_vector.h,0x43f004
update_rq_clock,9000540000,12000720000,7020421200,0,0,144004320,15552466560,96028800,0,0,11520016896,960001408,1920002816,2880004224,4800007040,0,144004320,0,0,1920002816,1920002816,0,0,48003360,11520016896,0,0,3840005632,0,0,0,48001440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48003360,0,0,0,0,0,0,0,0,0,1920002816,1920002816,11520016896,18240026752,696208800,vmlinux,update_rq_clock,[Unknown],0xffffffff94ec65c0
schedule,8640518400,7440446400,5580334800,48001440,0,4608138240,2208066240,72021600,0,0,13440019712,0,0,0,960001408,0,0,0,0,2880004224,4800007040,0,0,0,12480018304,0,0,0,0,0,48001440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6720009856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10560015488,6720009856,624187200,vmlinux,schedule,[Unknown],0xffffffff9584af40
"__gnu_cxx::operator-<double*, std::vector<double, std::allocator<double>>>",8100486000,6480388800,4140248400,48001440,0,0,0,0,0,0,3840005632,0,0,0,1920002816,0,0,0,0,960001408,1920002816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,960001408,0,10560015488,6720009856,0,driverForGraphClustering,"__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double>>>::difference_type __gnu_cxx::operator-<double*, std::vector<double, std::allocator<double>>>(__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double>>> const&, __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double>>> const&)",stl_iterator.h,0x43efb3
alloc_perturb,8100486000,1680100800,1080064800,0,0,3888116640,0,14404320,0,0,9600014080,0,960001408,0,0,0,0,0,144004320,0,960001408,0,0,0,2880004224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,960001408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3840005632,2880004224,100830240,libc-2.29.so,alloc_perturb,malloc.c,0x97776
entry_SYSCALL_64,7740464400,85445126400,60663639600,528015840,336010080,1584047520,3168095040,24007200,0,0,105600154880,0,0,0,10560015488,0,0,0,0,15360022528,18240026752,0,14400021120,288020160,100800147840,1920002816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48001440,2880004224,144004320,144004320,0,0,0,0,0,0,0,0,0,0,0,960001408,1920002816,107520157696,61440090112,283284960,vmlinux,entry_SYSCALL_64,[Unknown],0xffffffff95a00010
"__gnu_cxx::new_allocator<std::_Rb_tree_node<std::pair<long const, long>>>::deallocate",6840410400,19681180800,9720583200,96002880,0,0,4128123840,0,0,0,13440019712,0,0,0,2880004224,0,1344040320,0,0,960001408,1920002816,0,0,720050400,18240026752,2880004224,0,1920002816,96001440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,960001408,960001408,6720009856,12480018304,0,driverForGraphClustering,"__gnu_cxx::new_allocator<std::_Rb_tree_node<std::pair<long const, long>>>::deallocate(std::_Rb_tree_node<std::pair<long const, long>>*, unsigned long)",new_allocator.h,0x41fab7
mark_page_accessed,6480388800,2640158400,2880172800,0,0,2304069120,96002880,0,48001440,0,0,0,0,0,0,0,0,0,0,960001408,960001408,0,0,0,0,0,0,0,0,0,96002880,0,48003360,0,0,0,0,0,0,0,0,0,0,0,0,48001440,2880004224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4800007040,1920002816,0,vmlinux,mark_page_accessed,[Unknown],0xffffffff9501adb0
find_get_entry,6120367200,3120187200,2880172800,0,0,1296038880,576017280,14404320,0,0,7680011264,960001408,0,0,0,0,0,0,0,0,0,0,0,0,4800007040,0,0,0,0,0,0,0,48003360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48001440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3840005632,1920002816,273682080,vmlinux,find_get_entry,[Unknown],0xffffffff95004140
"__gnu_cxx::__aligned_membuf<std::pair<long const, long>>::_M_addr",5940356400,6720403200,4860291600,48001440,0,0,0,0,0,0,5760008448,0,0,0,4800007040,0,0,0,0,960001408,1920002816,0,0,0,5760008448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1920002816,0,10560015488,4800007040,0,driverForGraphClustering,"__gnu_cxx::__aligned_membuf<std::pair<long const, long>>::_M_addr(void)",aligned_buffer.h,0x4330b1
check_cfs_rq_runtime,5940356400,7920475200,3780226800,96002880,0,4032120960,192005760,24007200,0,0,7680011264,0,0,0,3840005632,0,0,0,0,1920002816,0,0,0,48003360,11520016896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,960001408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10560015488,9600014080,168050400,vmlinux,check_cfs_rq_runtime,[Unknown],0xffffffff94ed3c40
fsnotify,5760345600,1440086400,1440086400,0,0,432012960,192005760,9602880,0,0,1920002816,0,0,0,0,0,0,0,0,0,0,0,0,0,960001408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,960001408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,960001408,4800007040,67220160,vmlinux,fsnotify,[Unknown],0xffffffff95101c60
generic_file_buffered_read,5580334800,6240374400,5760345600,96002880,96002880,1296038880,1536046080,38411520,0,0,3840005632,0,0,0,2880004224,0,0,0,0,0,0,0,0,0,4800007040,960001408,0,0,0,0,0,48001440,96006720,0,0,0,0,0,0,0,0,0,0,0,0,0,2880004224,48001440,0,0,0,0,0,0,0,0,0,0,0,0,0,1920002816,9600014080,3840005632,264079200,vmlinux,generic_file_buffered_read,[Unknown],0xffffffff95005250
__kmpc_atomic_fixed8_add,5400324000,5280316800,6660399600,0,0,2736082080,288008640,4801440,0,0,15360022528,960001408,0,960001408,4800007040,0,240007200,0,0,960001408,2880004224,0,0,96006720,1920002816,960001408,0,1920002816,0,0,0,0,144010080,0,0,0,0,0,0,0,0,0,0,0,0,0,1920002816,0,0,0,0,0,0,0,0,0,0,0,0,0,2880004224,960001408,2880004224,3840005632,33610080,libiomp5.so,__kmpc_atomic_fixed8_add,kmp_atomic.cpp,0x458a0
__kmpc_atomic_float8_add,5400324000,90725443200,64263855600,480014400,0,1008030240,192005760,0,96002880,96002880,99840146432,40320059136,60480088704,47040068992,81600119680,0,11856355680,0,192005760,8640012672,2880004224,0,0,96006720,35520052096,1920002816,0,117120171776,0,0,0,144004320,192013440,0,0,48001440,0,28815840,0,0,0,0,0,0,0,0,960001408,96002880,0,24010080,48003360,0,0,0,0,0,0,0,0,1920002816,64320094336,19200028160,21120030976,9600014080,0,libiomp5.so,__kmpc_atomic_float8_add,kmp_atomic.cpp,0x458c0
"std::_Rb_tree<long, std::pair<long const, long>, std::_Select1st<std::pair<long const, long>>, std::less<long>, std::allocator<std::pair<long const, long>>>::_M_get_insert_unique_pos",5400324000,1440086400,2880172800,0,0,0,0,0,0,0,1920002816,0,0,0,960001408,0,0,0,0,0,0,0,0,0,1920002816,0,0,0,0,0,0,96002880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1920002816,3840005632,0,driverForGraphClustering,"std::_Rb_tree<long, std::pair<long const, long>, std::_Select1st<std::pair<long const, long>>, std::less<long>, std::allocator<std::pair<long const, long>>>::_M_get_insert_unique_pos(long const&)",stl_tree.h,0x42006d
yield_task_fair,5040302400,15600936000,12780766800,144004320,0,4896146880,768023040,96028800,0,0,17280025344,0,0,0,0,0,0,0,0,2880004224,2880004224,0,0,480033600,31680046464,2880004224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48001440,2880004224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1920002816,6720009856,13440019712,662598720,vmlinux,yield_task_fair,[Unknown],0xffffffff94ed3560
